timestamp,volume,trades,price
1577962800000,1046570.57602746,1668,7163.31
1577963700000,1925867.27955878,2641,7149.51
1577964600000,942084.94198728,1921,7151.2
1577965500000,1529739.59243335,2326,7139.79
1577966400000,1637604.59823107,2582,7161.15
1577967300000,1830309.11324207,2515,7157.41
1577968200000,1240923.40729743,1997,7148.01
1577969100000,971080.14076577,1660,7158.29
1577970000000,1133715.08691225,2059,7151.02
1577970900000,1079971.49789792,1544,7146.73
1577971800000,4430235.13761506,5362,7122.67
1577972700000,4520497.23857024,4656,7131.15
1577973600000,2038553.98118533,2910,7128.79
1577974500000,1580422.34827988,2443,7133.19
1577975400000,1402104.47215123,2366,7154.86
1577976300000,1803673.63406535,3057,7135.59
1577977200000,1849932.00641795,2309,7140.11
1577978100000,1549226.6038084,2331,7128.0
1577979000000,1574571.06142604,2212,7134.06
1577979900000,1178836.03802223,1930,7130.98
1577980800000,2340050.27704291,3379,7111.98
1577981700000,2274651.65310631,3434,7119.18
1577982600000,1692340.4460245,2325,7117.5
1577983500000,19214400.25172992,17875,7052.32
1577984400000,23733745.66588012,22434,6977.09
1577985300000,9096834.1143872,11393,6950.0
1577986200000,6891498.68133835,7783,6975.4
1577987100000,3425478.4385052,4347,6970.04
1577988000000,3774181.73678401,4035,6962.76
1577988900000,2008715.35049678,2833,6965.0
1577989800000,2816607.16307474,3422,6979.92
1577990700000,1948845.42541413,3675,6974.02
1577991600000,2655305.03848856,4810,6978.13
1577992500000,3236074.95234335,3547,6976.24
1577993400000,1914388.66219373,3590,6986.22
1577994300000,1944733.85219574,2695,6983.27
1577995200000,1831177.64205132,2206,6969.8
1577996100000,2798438.41075121,3515,6949.02
1577997000000,1719662.92969754,2553,6961.0
1577997900000,1576865.85747659,1941,6948.49
1577998800000,1192673.67972039,1932,6959.4
1577999700000,1002936.91886865,1859,6967.39
1578000600000,1267217.9216371,2128,6975.62
1578001500000,1175697.88894017,2117,6977.73
1578002400000,1250477.83305988,2463,6967.73
1578003300000,1202374.6620982,2458,6966.71
1578004200000,850858.10197891,1976,6966.6
1578005100000,657292.84736928,1768,6974.8
1578006000000,1283630.93189609,2055,6962.9
1578006900000,1763516.35921889,2787,6962.34
1578007800000,1308243.27587193,2197,6961.0
1578008700000,804949.91951256,1626,6965.71
1578009600000,1612257.03001222,2665,6962.98
1578010500000,957032.95831925,1790,6955.63
1578011400000,2152838.61369565,3287,6928.19
1578012300000,2960555.65027743,4168,6937.0
1578013200000,1628501.12832567,2676,6937.34
1578014100000,1419897.09735673,2323,6936.99
1578015000000,7501418.12738421,8044,6912.97
1578015900000,6048540.00089009,6079,6888.85
1578016800000,5125965.87703048,6146,6904.03
1578017700000,6644678.95234629,6905,6943.11
1578018600000,5549009.13554053,6290,6954.95
1578019500000,2570567.83861191,3106,6956.88
1578020400000,1718060.36493318,2515,6959.64
1578021300000,1579996.34193331,2548,6957.04
1578022200000,2710937.38209029,2302,6952.16
1578023100000,2656058.09805916,2958,6952.04
1578024000000,4324781.92709047,4952,6991.66
1578024900000,11379815.69205322,10403,7017.01
1578025800000,25682515.13497458,21261,7243.4
1578026700000,26846696.04520226,22273,7210.19
1578027600000,12324462.87488742,9329,7171.85
1578028500000,5962013.15283585,5367,7178.0
1578029400000,3410209.33785467,3715,7188.98
1578030300000,4050698.61268985,4632,7220.47
1578031200000,4141035.93269506,3986,7205.47
1578032100000,5002206.84872002,3929,7199.73
1578033000000,3958343.94994903,4469,7195.44
1578033900000,1851114.08768714,2675,7202.22
1578034800000,4092061.61189031,3644,7211.92
1578035700000,3713077.07717285,4033,7223.46
1578036600000,3677759.73184236,3623,7220.97
1578037500000,4281224.56954468,4669,7203.21
1578038400000,3762549.92005018,4875,7220.91
1578039300000,1807150.63214621,2280,7216.74
1578040200000,12220741.44034803,11916,7288.16
1578041100000,11057079.62961165,9678,7260.6
1578042000000,16848571.20652657,16409,7310.6
1578042900000,7275016.73621192,7967,7310.81
1578043800000,5275324.12349557,6869,7310.57
1578044700000,10581976.93610193,12166,7348.42
1578045600000,9179825.52061656,10435,7370.01
1578046500000,6663728.24299544,6072,7331.21
1578047400000,9023988.75435774,8033,7302.02
1578048300000,3893511.69559525,3903,7312.25
1578049200000,5119976.94660941,5308,7337.78
1578050100000,2660523.10288646,3274,7327.52
1578051000000,3163282.34754738,3225,7329.15
1578051900000,2443283.0365844,3378,7340.46
1578052800000,3081183.0264323,4281,7346.46
1578053700000,3327070.27687372,4323,7338.26
1578054600000,3261213.47135566,4226,7320.0
1578055500000,2919615.42463371,3407,7322.78
1578056400000,2617935.7817662,3153,7326.56
1578057300000,1791924.92931317,2890,7330.15
1578058200000,1731965.69538566,2682,7328.18
1578059100000,7851767.97283475,8416,7348.87
1578060000000,16418628.63138781,13542,7273.04
1578060900000,8365951.94402908,7565,7261.57
1578061800000,5610012.97426238,4506,7274.15
1578062700000,2949671.42344278,3613,7254.73
1578063600000,2423112.37557373,3360,7262.8
1578064500000,2589502.23055948,3771,7269.0
1578065400000,2885403.93607268,4482,7268.23
